Pressure,T,SiO2,TiO2,Al2O3,FeO,MgO,CaO,NiO,Na2O,K2O,H2O,Fe,Ni+Cu+Co,S,O,SCSS measurement
2.5,1773,36.83,10.56,9.94,18.57,9.24,12.89,0.43,0.34,0.03,0,64.06,0,34.19,1.64,3834
2.5,1773,41.24,4.84,12.44,15.94,7.58,13.37,0.01,0.67,0.14,0,64.74,0,33.81,1.49,2490
2.5,1673,33.28,17.21,7.34,22.97,5.9,10.85,0.18,0.36,0.07,0,63.94,0,34.07,1.76,4570
2,1773,38.52,9.87,9.93,18.05,8.38,12.3,0.33,0.34,0.07,0,63.59,0,33.27,2.32,4658
1.5,1873,42.89,4.77,13.35,17.69,6.76,11.79,0.01,0.49,0.14,0,63.9,0,33.78,2.8,4798
1.5,1873,38.16,10.21,9.67,19.24,8.32,11.53,0.38,0.39,0.05,0,63.26,0,34.75,1.97,5864
1.5,1823,39.34,10.74,9.28,17.71,8.41,12.44,0.37,0.37,0.06,0,64.65,0,33.31,2.27,4551
1.5,1773,38.63,10.29,9.62,16.19,8.98,13.31,0.35,0.37,0.06,0,63.91,0,33.6,2.09,5316
1.5,1723,39.07,11.02,8.98,18.38,8.19,11.94,0.37,0.37,0.05,0,63.52,0,34.1,2.25,4460
1.5,1673,39.06,10.87,8.89,18.31,8.31,12.16,0.39,0.35,0.06,0,64.06,0,33.62,2.26,3776
1.5,1673,38.63,10.44,9.5,17.91,8.45,12.78,0.38,0.38,0.05,0,63.38,0,33.62,2.56,3941
1.5,1673,41.48,4.64,13.02,16.74,7.13,13.55,0.02,0.52,0.14,0,64.89,0,32.64,2.49,2800
1,1773,37.97,10.87,9.41,18.25,8.71,11.94,0.36,0.34,0.05,0,63.98,0,33.22,2.78,5350
1,1773,43.78,4.56,13.09,14.97,7.05,13.43,0.01,0.51,0.15,0,63.98,0,33.37,2.35,4054
1,1543,52.38,1.12,15.96,4.54,3.08,9.54,0,2.72,6.53,2.84,62.88156904,0,36.02883096,1.0896,1225
1,1543,53.37,1.09,16.42,4.43,3.14,9.51,0,2.52,6.24,2.84,62.89835265,0,36.03844735,1.0632,1214
1,1543,54.5,0.61,17.6,6.3,4.67,11.6,0,1.68,0.08,1.19,62.6130313,0,35.8749687,1.512,660
1,1543,55.27,0.6,18.32,6.05,4.75,11.46,0,1.6,0.07,1.19,62.65117587,0,35.89682413,1.452,714
1,1543,52.82,0.58,19.48,5.47,4.95,12.05,0,1.64,0.07,2.43,62.73967126,0,35.94752874,1.3128,705
1,1543,55.98,0.59,17.28,5.71,5.03,11.5,0,1.72,0.08,1.38,62.70305248,0,35.92654752,1.3704,637
1,1543,53.49,1.12,16.65,4.44,3.31,9.83,0,2.7,6.25,1.31,62.89682686,0,36.03757314,1.0656,842
1,1543,52.98,1.15,16.41,4.11,3.36,10.16,0,2.51,6.01,2.58,62.94717769,0,36.06642231,0.9864,1184
1,1543,53.05,1.12,15.55,5.12,3.75,9.95,0,3.07,4.34,3.14,62.79307365,0,35.97812635,1.2288,1537
1,1543,54.08,1.11,16.3,4.95,3.81,9.88,0,2.98,4.22,3.14,62.81901195,0,35.99298805,1.188,1434
1,1543,53.42,1.11,17.32,5.08,3.76,10,0,3.17,4.26,1.28,62.79917678,0,35.98162322,1.2192,1025
1,1543,54.7,0.9,18.02,1.85,4.18,11.33,0,2.28,3.35,3.39,63.29200455,0,36.26399545,0.444,1211
1,1543,54.66,0.73,18.69,2.27,4.7,12.05,0,1.95,1.4,3.55,63.22792168,0,36.22727832,0.5448,828
1,1683,37.94,18.77,5.45,12.21,13.89,7.62,0,0.21,0.138,0,61.17,0,38.69,2.93,4755
1.5,1683,34.18,17.79,5.2,18.59,12.01,7.38,0,0.22,0.16,0,59.82,0,36.04,4.46,6273
2,1683,30.8,18.05,5.04,22.96,10.47,7.07,0,0.19,0.17,0,59.81,0,35.36,5.51,7343
2.5,1683,33.23,14.28,4.71,20.85,12.32,6.22,0,1.88,0.09,0,60.28,0,38.21,5,7384
1,1683,45.77,6.53,9.15,9.93,13.74,10.64,0,0.57,0.28,0,60.55,0,33.42,2.38,2377
1,1783,45.18,4.99,6.89,14.2,16.21,8.41,0,0.62,0.1,0,59.08,0,31.68,3.41,3644
1,1783,42.35,4.9,6.7,18.44,15.22,8.32,0,0.45,0.13,0,60.31,0,31.07,4.43,4465
1,1783,47.31,5.17,7.29,11.19,17.05,8.86,0,0.47,0.1,0,60.84,0,33.15,2.69,2928
1.5,1783,47.36,4.39,6.59,10.48,16.13,8.95,0,0.88,0.77,0,56.97,0,32.57,2.52,3381
2,1783,40.87,5.56,7.4,18.75,13.49,9.23,0,0.47,0.13,0,60.46,0,32.13,4.5,3658
2.5,1783,40.87,4.38,6.43,19.4,16.41,8.27,0,0.29,0.1,0,61.43,0,31.26,4.66,2677
1,1783,52.18,0.28,9.04,7.33,16.07,9.77,0,0.08,0.035,0,55.09,0,36.07,1.76,2206
2,1783,46.17,0.2,6.88,17.01,17.51,7.44,0,0.26,0.02,0,59,0,36.4,4.08,2567
2.5,1783,49.62,0.22,7.54,11.5,19.32,7.59,0,0.09,0.03,0,56.6,0,37.66,2.76,2106
1,1683,47.1,9.65,7.96,10.61,12.34,8.83,0,0.41,0.1,0,62.1,0,35.01,2.55,2533
1,1764,47.81,9.43,8.04,10,12.25,8.84,0,0.51,0.37,0,62,0,34.75,2.4,3034
1,1783,47.16,9.36,7.9,11.81,11.78,8.7,0,0.37,0.024,0,62.19,0,34.4,2.83,3005
1,1883,48.26,9.5,8.3,9.5,12.19,8.89,0,0.71,0.027,0,61.12,0,35.04,2.28,4130
2,1783,42.93,8.96,7.61,16.61,10.62,8.42,0,0.74,0.03,0,58.95,0,33.36,3.99,3199
2.5,1783,41.64,9.77,7.85,17.04,9.54,8.94,0,0.45,0.04,0,43.66,0,28.71,4.09,2388
1,1683,53.04,7.44,12.39,4.02,5.12,11.65,0,0.22,0.24,0,57.48,0,33.75,0.96,1882
1,1783,49.81,6.79,11.68,10.12,4.68,10.98,0,0.23,0.19,0,61.75,0,33.16,2.43,2336
1,1833,53.59,7.02,12.57,6.55,5.1,11.89,0,0.08,0.08,0,58.9,0,34.61,1.57,2417
1.5,1783,47.64,6.35,10.94,16.27,4.5,10.31,0,0.11,0.04,0,61.66,0,32.58,3.91,2872
2,1783,46.77,6.27,10.77,17.47,4.31,10.12,0,0.09,0.02,0,61.79,0,32.64,4.19,2595
1,1583,45.16,0.71,12.75,17.55,6.77,12.31,0,0.37,0.089,0,61.19,0.27,32.07,3.32,2700
1,1883,38.02,0.72,9.15,16.78,19.07,12.36,0,0.08,0.04,0,61.73,0.35,32,3.26,5321
1,1683,43.37,0.69,12.14,16.62,9.22,13.02,0,0.36,0.08,0,60.44,0.27,31.88,2.86,3783
1,1683,37.39,0.85,11.19,17.82,14.1,14.63,0,0.38,0.07,0,61.96,0.25,29.34,4.67,4533
1,1783,39.63,0.78,14.98,17.92,6.49,15.72,0,0.84,0.04,0,62.06,0.33,32.35,3.63,5655
1,1783,38.5,0.71,9.42,21.81,17.32,10.21,0,0.21,0.085,0,61.88,0.61,33.11,5.222679636,5301
1,1883,46.04,0.64,9.45,18.55,12,9.77,0,0.77,0.07,0,60.12,0.61,31.01,3.31,5337
1,1783,45.59,0.66,9.3,21.27,10.68,8.55,0,0.48,0.05,0,61.31,1.26,32.13,3.77,5028
1,1688,37.89,0.79,12.31,24.44,6.95,14,0,0.142,0.05,0,61.46,0.39,27.93,5.25,4992
1,1683,35.73,0.76,12.23,25.84,6.43,13.86,0,0.134,0.046,0,64.62,0.34,28.81,4.77,6099
1,1883,41.86,0.69,11.12,26.97,6.29,9.67,0,0.31,0.061,0,62.45,0.6,29.12,4.5,7648
1,1783,44.12,0.69,12.68,20.87,7.58,10.11,0,0.38,0.07,0,60.64,0.88,29.93,3.66,5163
1,1683,40.83,0.63,8.8,25.23,10.25,8.73,0,0.54,0.127,0,62.48,0.76,30.28,3.84,5418
1,1583,37.75301887,9.833584906,7.694528302,18.01339623,7.876792453,12.46566038,0,0.377275472,0.208030189,0,60.13138091,0.272315636,32.80987236,4.06026122,4110
1,1783,38.374,9.900333333,7.661333333,19.40133333,8.218333333,10.99333333,0,0.377516667,0.184796667,0,60.57907838,0.252725405,32.98222919,3.307932857,6052
1,1783,44.96163265,1.936326531,13.04673469,13.69673469,9.472653061,11.55795918,0,0.537467347,0.343144898,0,61.03016394,0.357587364,34.89943273,3.76635,3664
1,1583,46.93854545,2.064727273,13.70163636,13.012,8.372,10.81145455,0,0.543145455,0.334594545,0,60.86633233,0.36946325,35.11635033,3.45937,1873
1,1583,43.0929842,1.169389751,17.80242359,12.65139337,6.58687384,14.36185489,0,0.593665976,0.260025538,0,60.6263751,0.300805846,32.36313694,2.352479032,1635
1,1683,41.46515484,1.78959871,11.81791613,21.00254194,8.177366129,10.67460968,0,0.478153194,0.275695645,0,62.401292,0.443539844,31.29453711,4.131374242,4231
1,1883,43.44310455,1.795044318,12.32236136,13.27986136,9.984712045,11.74174545,0,0.481918841,0.261712932,0,59.49714,0.237590333,32.16592667,3.176354042,4896
1,1683,35.85945862,8.891676552,6.801574138,21.40743448,7.864858276,12.89327586,0,0.400569793,0.173018621,0,60.34098889,0.255225889,30.97657222,5.119934001,7424
1,1783,38.57848333,1.689411944,10.87735833,22.90318611,10.02985361,9.264121944,0,0.505033722,0.263408833,0,43.22964364,24.4569393,27.60644034,2.610836667,3909
1,1883,37.87024074,0.369198185,6.753480741,23.8230037,15.66556296,10.66665926,0,0.096076333,0.050491963,0,42.63642567,25.71129207,26.34788917,2.981530789,4749
1,1783,43.5212,2.426,11.74,15.7836,12.5324,10.2084,0,0.338112,0.134132,0,63.57315789,0.179142105,32.59315789,3.788064,3703
1,1683,41.46255455,1.08767303,17.7721,13.56529091,6.730198788,14.63379697,0,0.561578818,0.224980121,0,62.75470873,0.317525338,31.81554775,5.063323939,2713
1,1783,34.88505385,9.101273077,6.807947308,27.22428077,7.627662692,9.244225385,0,0.390134154,0.161566769,0,41.83116467,26.14140885,26.77863387,2.962435952,5852
1,1883,38.03033193,9.113770691,12.06210744,16.37919898,7.977604346,10.79933605,0,0.23135,0.107896154,0,60.48552464,0.238675,31.332075,3.1210525,6502
1,1783,42.66325973,1.089806071,19.36011932,12.65578799,7.881923837,13.08486766,0,0.23135,0.107896154,0,58.94746581,2.299516774,30.75282742,2.960074839,2886
1,1683,41.09904762,2.185714286,10.84761905,20.11666667,11.81809524,9.535238095,0,0.401004762,0.16227619,0,60.00565467,0.953362,32.370799,3.46358625,4416
1,1883,36.66923077,0.338342308,6.872307692,26.83884615,14.60115385,10.42923077,0,0.23135,0.107896154,0,36.31722,34.07179333,28.10226077,2.016685333,4458
1,1783,40.8396,1.8164,12.016,25.2948,7.494,7.966,0,0.495816,0.275492,0,32.46930333,36.87208156,26.27487644,1.533301053,3011
1,1783,36.38,1.6983875,11.42125,29.72,7.481875,7.680625,0,0.46275,0.2623625,0,24.52373922,51.82054118,23.7724002,0.015937391,1571
1,1883,36.62996122,0.368150959,6.493653673,31.71851224,13.14087551,7.563702041,0,0.073530898,0.031596612,0,25.34590891,49.709237,22.65874328,0.029165349,5223
1,1783,29.1452381,1.411914286,9.138571429,40.99666667,7.63,6.861428571,0,0.46617619,0.277485714,0,24.10391574,48.7649882,22.9568623,2.22753,4027
1,1883,36.665188,0.337293529,7.144206471,28.364926,14.73503618,8.170238529,0,0.133585588,0.028032353,0,29.69373905,39.50998571,25.01777095,1.918821429,4613
1,1783,27.71225806,7.436774194,5.709032258,39.25580645,7.799032258,7.450322581,0,0.337912903,0.155796774,0,16.79444177,56.98158403,22.06435516,1.912761282,4421
1,1783,33.76983438,8.73858375,7.225033438,28.87405313,7.41112875,8.450329063,0,0.659918656,0.169050531,0,32.493775,37.05210125,25.9453875,1.768753439,4761
1,1783,30.80142857,8.9175,6.41,30.20785714,8.337857143,10.92892857,0,0.361357143,0.152475,0,24.05736667,51.13133333,24.60016667,0.82551967,2504
1,1883,64.19572632,0.300379632,10.93928947,10.76814737,0.939628526,2.803074737,0,0.613383316,5.807076842,0,61.88568889,0.520196222,31.35031111,2.575642452,2285
1,1783,58.67214375,0.287126656,10.11591406,16.40357813,1.564755938,3.305595938,0,0.572799844,5.454793438,0,62.07472047,2.556856354,29.86810688,3.772746,3097
1,1683,55.3433973,0.236818865,9.601489189,18.05588378,1.514807027,3.590021081,0,0.628568432,5.280252162,0,62.70342509,0.316190226,29.65178717,5.022697429,4144
1,1533,62.68102115,0.301880654,11.10894385,12.75303269,0.702578154,3.372508269,0,0.603606808,5.457414423,0,60.86854765,0.317566216,30.39839333,4.431010323,2460
1,1583,42.82950968,2.485246774,11.42227419,21.06289677,8.756996452,10.07606548,0,0.491918742,0.233629871,0,62.06210952,0.258379905,31.58680476,5.05029543,3511
1,1523,51.28,0.89,17.13,7.13,7.19,10.69,0,2.58,0.83,0,64.65,0.03,36.75,1.14,1398
1,1523,50.99,0.71,16.85,8.51,7.08,10.35,0,2.51,0.84,0,58.92,4.75,35.31,1.37,1328
1,1523,49.6,1.11,17.33,6.88,7.23,10.57,0,2.53,0.8,0,50.48,14.26,33.02,2.16,1137
1,1523,50.34,1.09,17.29,5.92,7.21,10.51,0,2.54,0.8,0,62.67101104,0,35.90818896,1.4208,1069
1,1523,52.68,1.09,16.88,6.95,7.41,10.52,0,2.53,0.81,0,62.51385544,0,35.81814456,1.668,1083
1,1523,51.53,0.73,16.87,6.81,7.04,10.46,0,2.5,0.79,0,62.53521639,0,35.83038361,1.6344,1020
1,1523,52.64,0.75,17.43,5.82,7.21,10.48,0,2.6,0.82,0,62.68626887,0,35.91693113,1.3968,776
1,1523,55.02,1.02,17.54,1.81,8.21,10.85,0,2.69,0.99,0,7.29,63.57,29.29,1.45,457
1,1523,51.98,1.16,17.26,8.52,7.17,10.52,0,2.51,0.84,4.96,51.53,13.25,33.45,2.23,1523
1,1523,51.94,1.2,17.74,6.34,7.57,10.96,0,2.58,0.88,3.21,51.91,11.55,36.23,0.82,1402
1,1523,51.83,0.99,17.37,7.08,7.27,10.46,0,2.48,0.73,2.72,50.39,11.72,36.46,0.94,1355
1,1523,52.16,1.12,17.37,6.12,7.61,10.47,0,2.79,0.99,1.7,62.64049539,0,35.89070461,1.4688,1255
1,1523,52.78,1.2,16.91,6.49,7.35,10.53,0,2.52,0.81,1.21,50.65,12.08,33.74,2.09,1151
1,1523,52.73,1.1,17.33,5.9,7.2,10.51,0,2.55,0.79,0,48.64,13.76,35.34,1.26,1053
1,1673,47.1,2.8,8.9,20.1,11.1,9.2,0,0.242022667,0,0,90.9553,0,9.466399214,0,1189.635
1,1673,48.14857279,2.653599214,8.9458015,18.4469025,10.94591379,9.218649857,0,0.234083,0,0,88.2944686,0,12.5346278,0,1471.84
0.0001,1672,51.5,3,9.6,12.5,11.8,10,0,0.126315143,0,0,91.05436929,0,8.672308286,0,1433
0.0001,1671,47.28725288,3.00354225,9.0767035,17.95347563,11.07424125,9.40344875,0,0.142935889,0,0,88.39208757,0,10.29871543,0,2045.16073
0.0001,1671,43.4357975,2.7169425,8.2559745,26.4872221,9.9307262,8.5363148,0,0.0155651,0,0,90.38896946,0,10.03340354,0,3718.739315
0.0001,1671,51.32268064,3.176809818,9.669579091,12.65386027,11.87203673,9.970445545,0,0.0187608,0,0,91.03806308,0,9.352747667,0,1367.124099
0.0001,1671,50.65513312,3.039635294,9.569696118,14.60129835,11.71574947,9.914246941,0,0.0122301,0,0,89.80086938,0,10.27585892,0,1582.719103
0.0001,1671,48.00210991,2.977554,9.050379636,18.223456,11.07033245,9.431305364,0,0.032611125,0,0,89.114186,0,10.053961,0,2077.497354
0.0001,1671,50.555341,3.055483375,9.441149813,15.39591075,11.57848631,9.90941975,0,0.03896975,0,0,89.58534308,0,10.84085708,0,1817.690139
0.0001,1670,49.0533092,3.0708328,9.1322385,16.8189341,11.1017652,9.5790602,0,0.0260876,0,0,85.7404258,0,14.2107305,0,2023.575584
0.0001,1678,48.3200891,2.8954546,8.9906427,18.3998608,10.9179228,9.4574223,0,0.0186281,0,0,90.22011706,0,9.799909938,0,2252.370438
1,1673,48.5076446,2.94734695,9.2267501,18.56123255,11.31708135,9.54540355,0,0.2443632,0,0,87.25944679,0,10.43636684,0.002747895,1695.858793
1,1673,49.43868385,2.86310625,9.3804766,16.2005387,11.45381555,9.74879155,0,0.260553,0,0,60.549745,0,36.56968873,2.689356727,3598.568684
1,1673,45.40744084,2.636063263,8.754803263,23.71274726,10.54658347,8.820875842,0,0.231087632,0,0,85.20253807,0,12.32730186,0,1635.581016
1,1673,46.52637747,2.782744263,9.917435684,20.21780316,10.79496089,9.208993947,0,0.262308947,0,0,64.656034,0,34.38614413,1.855089,3314.053882
1,1673,45.5803,2.7543,8.554,21.35995,11.19265,9.13235,0,0,0,0,66.729,0,30.797875,1.813625,2300.076833
0.0001,1473,44.60875,2.9692,9.06225,24.14195,8.2063,9.87175,0,0.14925,0,0,67.1,0,31.0755,1.2236,3211.005621
0.0001,1573,42.22708696,2.54673913,7.818521739,27.76152174,10.23017391,8.505956522,0,0.099826087,0,0,66.473,0,31.46723077,1.848846154,4584.103987
1.5,1673.15,44.23124,0.01375,17.70595,0.8777,17.69588,16.43505,0,0.34949,0.009034483,0,44.9051913,15.2907,39.71459565,0.089513043,4970.2
1.5,1673.15,54.83328788,0.401312121,7.782763636,5.066848485,12.92979394,15.33486364,0,0.328984848,0.105290909,0,52.0427375,11.42739688,35.9703375,0.559528125,1443.042424
1.5,1673.15,57.16220303,0,12.05313939,5.562757576,10.54899394,12.1070303,0,0,0,0,42.98469524,16.13410476,40.6629381,0.218261905,2178.921212
1.5,1673.15,58.61777576,0,11.27285758,4.575133333,11.62464848,11.98585152,0,0,0,0,31.39443103,35.99312759,32.1926931,0.419748276,618.1090909
1.5,1673.15,55.86016857,0,9.51812,4.131537143,10.77150857,15.97840571,0,0,0,0,13.40359722,58.274525,28.06307778,0.2588,325.2685714
1.5,1673.15,62.91008824,0.643729412,12.24770294,2.737514706,8.625005882,10.38014706,0,1.299038235,0.119735294,0,5.55307561,70.04000976,24.34812195,0.058792683,292.6705882
1.5,1923.15,43.31487143,0,13.55812,10.76301714,9.326817143,20.11990571,0,0,0,0,59.3694,1.631484615,37.51617692,1.482938462,5789.285714
1.5,1923.15,54.298076,0,13.181732,12.974216,4.575592,13.036272,0,0,0,0,59.02807857,2.410692857,35.90265,2.658578571,4921
1.5,1923.15,43.92933939,0,5.440654545,10.38237576,4.068112121,32.67347273,0,0,0,0,59.91389048,1.500633333,36.4727619,2.112714286,7993.484848
1.5,1923.15,55.51146765,0,0.139702941,13.24945882,0.132720588,27.05351176,0,0,0,0,59.04285185,1.88802963,37.7529963,1.316122222,8411.147059
1.5,1923.15,41.08268519,0,16.62507407,9.133777778,15.36645926,15.29309259,0,0,0,0,59.77631429,1.398214286,37.20459524,1.62087619,4563.333333
1.5,1923.15,34.72073684,0,13.82112105,8.700805263,26.87407895,14.25547368,0,0,0,0,59.59188621,2.024024138,35.77386897,2.61022069,4844.947368
1.5,1923.15,52.68655676,0,10.49474595,13.56297027,10.25322973,10.12593514,0,0,0,0,58.59054324,2.727740541,37.1209,1.560816216,4357.594595
1.5,1923.15,54.40059429,0,0.210842857,14.22862286,29.20713143,0.424394286,0,0,0,0,58.39159429,2.224117143,37.35830857,2.02598,4249.257143
1.5,1923.15,37.39015909,0,34.04380455,11.59750455,0.2106,16.64124091,0,0,0,0,59.21521667,3.153777778,35.67850556,1.9525,2941.5
1.5,1923.15,50.27158718,0,10.65175128,12.67358718,23.96581538,0.351971795,0,0,0,0,56.88524737,3.023847368,38.56175263,1.529152632,4040.846154
1.5,1923.15,36.10256786,0,25.553875,9.736439286,11.64995357,15.83212857,0,0,0,0,60.08148235,1.4709,35.79002353,2.657594118,3806.178571
1.5,1673.15,41.46032,0,16.47432,7.18504,14.98118,15.12198,0,0,0,0,57.70598333,2.934173333,37.83952,1.520323333,2402.2
1.5,1673.15,52.034325,0,15.595525,9.165425,8.9822,10.595425,0,0,0,0,61.40823,0.91914,36.28962,1.38301,2165
1.5,1673.15,52.19167975,0,15.3324481,10.04608734,8.918383544,10.97272278,0,0,0,0,61.40668684,1.559139474,35.01537368,2.0188,1644.358974
1.5,1673.15,47.51657692,0.781311538,14.89148077,9.062523077,9.991557692,11.88925769,0,1.758753846,0,0,60.78985938,0.344003125,36.94949063,1.916646875,2347.653846
1.5,1673.15,48.23358974,0,15.00043077,8.276648718,10.06265385,11.98942051,0,1.798448718,0,0,60.75977826,0.263073913,36.93026522,2.046882609,2343.102564
1.5,1673.15,60.63927027,0.562043243,16.75136757,5.474008108,3.152389189,5.984121622,0,3.74407027,1.142354054,0,56.96102963,2.61507037,38.72125185,1.702648148,884.6594595
1.5,1673.15,56.27910833,0.337395833,15.75981458,5.162339583,3.34149375,11.35160833,0,2.62298125,2.495941667,0,61.918925,0.3726875,37.07747917,0.630908333,1209.725
1.5,1673.15,54.44615652,1.389747826,13.96385217,7.097604348,5.388934783,6.743991304,0,3.310286957,3.200313043,0,59.7851,1.695605,36.37979,2.139505,744
1.5,1673.15,52.84494643,1.479617857,18.79665357,4.425367857,3.697882143,4.415635714,0,7.959528571,3.294046429,0,58.48817333,2.060356667,36.79603,2.65544,712
1.5,1673.15,57.31898235,0.016105882,14.38702941,7.053158824,10.36084118,0.663988235,0,7.580882353,0.033605882,0,57.83485789,3.3989,36.6573,2.108942105,644
